object_number,edition_id
22349,ED-8A0D874414
22375,ED-FCA77BC339
22377,ED-12DC025CDF
22396,ED-ACF55684D2
22397,ED-17A6CB547F
22398,ED-D44090BF2B
22399,ED-A60FE3F167
22408,ED-10AB5C0200
22410,ED-818D78C95F
22438,ED-09458A07C7
22443,ED-12ED29DB6A
22446,ED-07B0B8C46F
22448,ED-F09117AF6E
22451,ED-7C85960364
22461,ED-FA52B8D54F
22462,ED-2F2E0FA3C7
22464,ED-02503A815A
22470,ED-F5560B9572
22474,ED-29C5E94940
22645,ED-4D9F0379DE
22854,ED-0E638AE11C
22857,ED-E50644F4E3
22859,ED-D15C96C6AE
22861,ED-D13E25D7A5
22865,ED-CF55AE5B2A
22871,ED-6266E80F8A
22877,ED-B2240AAB35
22881,ED-A6AA30E3D8
22885,ED-D3491665C1
22888,ED-38BEBFF022
22920,ED-804D5BD1AE
22923,ED-2033DAFE31
22924,ED-44086B913A
22925,ED-7FB33D184E
22926,ED-ECC2AB90BC
22928,ED-FF3C6BB03A
22931,ED-3310CB5CD9
22935,ED-A5FBC97A14
22938,ED-54372A9408
22939,ED-B6A7DDEDFA
23131,ED-6E039F7AA7
23132,ED-774512F012
23133,ED-740E5A6910
23134,ED-2756C42032
23135,ED-E4A256AC2C
23136,ED-65F5DDC788
23137,ED-1294018ED8
23138,ED-E398BD972E
23139,ED-7D6B219D51
23140,ED-6F84144A16
23141,ED-61807B5DA0
23142,ED-9E2271FD10
23143,ED-D1C7DEF176
23144,ED-3C74C9946D
23145,ED-A846CE7C55
23146,ED-61C4C3AFE7
23147,ED-7F941E4384
23148,ED-F7DBAE3FB8
23149,ED-CBF013C4DF
23150,ED-52489962BF
23153,ED-D125BE3BEF
23155,ED-0667F17CC3
23158,ED-45849D339F
23160,ED-E1706EB6B2
23162,ED-6F21B2C865
23164,ED-DCAA7C6634
23166,ED-7EC4CBE521
23167,ED-B0ED645C17
23168,ED-EDC01FEC22
23169,ED-10861AA7B9
23170,ED-FBAB8F98EE
23171,ED-07568469C8
23172,ED-E42CA28B8B
23173,ED-BF1821B2AD
23187,ED-3BDA1D24A2
23188,ED-EA7479C41F
23189,ED-7FD5D72796
23190,ED-487AFDD8A8
23191,ED-FBD50F07AB
23192,ED-CBF013C4DF
23193,ED-5AB8F90511
23194,ED-BBC29AF4D8
23195,ED-D6D3ED4FD4
23238,ED-9A1311935E
23239,ED-2880E52E3C
23242,ED-149CED46BD
23243,ED-E63B4965D4
23244,ED-4829E440A2
23246,ED-82E3F70363
23252,ED-2665F08354
23254,ED-4E7BE0BA25
23256,ED-2553FAC0AC
23258,ED-94FF90F159
23259,ED-B8F556A2E3
23260,ED-2B40CCEBD6
23261,ED-642E8FFF60
23263,ED-65EAAD2146
23272,ED-4160703A29
23273,ED-636E3D299C
23274,ED-5F0B48ECF8
23336,ED-A37FAF2749
23351,ED-F7E50A90FC
23354,ED-6945EA3B85
23367,ED-018C963EE9
23706,ED-BFD0B9204B
23707,ED-27B449D13F
23708,ED-9EB7B7D3F1
23709,ED-5BA9634195
23710,ED-32AF13E7A3
23711,ED-4765C13933
23712,ED-70CB5E2D94
23713,ED-E917EEECC2
23715,ED-6C5C335255
23717,ED-C9406EE8CA
23718,ED-671E1781F6
23719,ED-0BF1364D48
23721,ED-8537894E28
23723,ED-9DC9C62F7B
23724,ED-87147C0E23
23726,ED-841908A34C
23731,ED-5CA4EDC925
23732,ED-766AFFEDDB
23733,ED-BF0BFD6D0A
23734,ED-20145E359A
23736,ED-AF7691B42F
23741,ED-57CFFA5240
23743,ED-7A9BEE4D3A
23745,ED-F67C5B2E89
23784,ED-D2F617B065
23785,ED-3A426697C7
23788,ED-33AE33C0CB
23789,ED-5D4A9D5B93
23790,ED-1730C1436E
