"edition_id","title_primary","platform"
"CAT-34688","Mystic Ark;ミスティック・アーク","Nintendo Super Famicom"
"CAT-34716","WWF WrestleMania The Arcade Game;レッスルマニア・ジ・アーケードゲーム","Nintendo Super Famicom"
"CAT-34745","Mario & Wario;マリオとワリオ","Nintendo Super Famicom"
"CAT-34752","Disney's The Lion King;ライオンキング","Nintendo Super Famicom"
"CAT-34808","Suzuka 8 Hours;スズカエイトアワーズ","Nintendo Super Famicom"
"CAT-35384","Super Mahjong Taikai;スーパー麻雀大会","Nintendo Super Famicom"
"CAT-35389","Super Birdie Rush;スーパーバーディラッシュ","Nintendo Super Famicom"
"CAT-35405","Lagoon;ラグーン","Nintendo Super Famicom"
"CAT-35410","Action Pachio;アクションパチ夫","Nintendo Super Famicom"
"CAT-35420","Dragon's Earth;ドラゴンズ・アース","Nintendo Super Famicom"
"CAT-35431","Jurassic Park;ジュラシック・パーク","Nintendo Super Famicom"
"CAT-35442","Stargate;スターゲイト","Nintendo Super Famicom"
"CAT-35451","Pilotwings;パイロットウイングス","Nintendo Super Famicom"
"CAT-35471","Acrobat Mission;アクロバットミッション","Nintendo Super Famicom"
"CAT-35488","Spindizzy Worlds;スピンディジーワールド","Nintendo Super Famicom"
"CAT-35497","The Blues Brothers;ブルースブラザーズ","Nintendo Super Famicom"
"CAT-35514","Batman Forever;バットマン フォーエヴァー","Nintendo Super Famicom"
"CAT-35524","Ardy Lightfoot;アルディライトフット","Nintendo Super Famicom"
"CAT-35553","Disney's Beauty and The Beast;美女と野獣","Nintendo Super Famicom"
"CAT-35557","Tiny Toon Adventures Buster Busts Loose;タイニートゥーン アドベンチャーズ","Nintendo Super Famicom"
"CAT-35571","The Firemen;ザ・ファイヤーメン","Nintendo Super Famicom"
"CAT-35628","Feda The Emblem Of Justice;フェーダ エンブレム・オブ・ジャスティス","Nintendo Super Famicom"
"CAT-36843","ActRaiser;アクトレイザー","Nintendo Super Famicom"
"CAT-36912","Gon;ゴン","Nintendo Super Famicom"
"CAT-36963","Super Metroid;スーパーメトロイド","Nintendo Super Famicom"
"CAT-37038","Battletoads Double Dragon","Nintendo Super Nintendo Entertainment System"
"CAT-37220","Fighter's History;ファイターズヒストリー","Nintendo Super Famicom"
"CAT-37308","Super Gomoku Narabe Renju;スーパー五目ならべ 連珠","Nintendo Super Famicom"
"CAT-37931","Super Mario World 2 Yoshi's island","Nintendo Super Nintendo Entertainment System"
"CAT-37942","Mega Man 7","Nintendo Super Nintendo Entertainment System"
"CAT-37946","Secret of Mana","Nintendo Super Nintendo Entertainment System"
"CAT-37953","Breath of Fire","Nintendo Super Nintendo Entertainment System"
"CAT-37955","Demon's Crest","Nintendo Super Nintendo Entertainment System"
"CAT-37956","ActRaiser 2","Nintendo Super Nintendo Entertainment System"
"CAT-37960","Donkey Kong Country 2 Diddy's Kong Quest","Nintendo Super Nintendo Entertainment System"
"CAT-37963","Inindo Way of the Ninja","Nintendo Super Nintendo Entertainment System"
"CAT-37970","The Legend of Zelda A Link to the Past","Nintendo Super Nintendo Entertainment System"
"CAT-38279","Populous;ポピュラス","Nintendo Super Famicom"
"CAT-38562","Angelique;アンジェリーク","Nintendo Super Famicom"
"CAT-38739","Doraemon Nobita to Yousei no Kuni;ドラえもん のび太と妖精の国","Nintendo Super Famicom"
"CAT-40407","Tiny Toon Adventures Buster Busts Loose!","Nintendo Super Nintendo Entertainment System"
"CAT-40415","King Arthur's World","Nintendo Super Nintendo Entertainment System"
