object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm
9323,Nintendo Super Famicom,SFC,Spindizzy Worlds,Spindizzy Worlds,primary_ascii,スピンディジーワールド,NTSC-J,ja
9324,Nintendo Super Famicom,SFC,GP-1,GP-1,primary_ascii,GP1,NTSC-J,ja
9326,Nintendo Super Famicom,SFC,Bahamut Lagoon,Bahamut Lagoon,primary_ascii,バハムート ラグーン,NTSC-J,ja
9328,Nintendo Super Famicom,SFC,Slap Stick,Slap Stick,primary_ascii,スラップスティック|Robotrek|Slapstick,NTSC-J,ja
9329,Nintendo Super Famicom,SFC,Super Puyo Puyo 2,Super Puyo Puyo 2,primary_ascii,す〜ぱ〜ぷよぷよ通|Super Puyo Puyo Tsuu,NTSC-J,ja
9330,Nintendo Super Famicom,SFC,Slayers,Slayers,primary_ascii,スレイヤーズ,NTSC-J,ja
9331,Nintendo Super Famicom,SFC,Monster Maker III Hikari no Majutsushi,Monster Maker III Hikari no Majutsushi,primary_ascii,モンスターメーカー3 光の魔術士|Monster Maker 3 Hikari no Majyutsushi|Monster Maker III Hikari no Majyutsushi|Monster Maker III Hikaru no Majutsushi,NTSC-J,ja
9358,Nintendo Super Famicom,SFC,Super Shanghai Dragon's Eye,Super Shanghai Dragon's Eye,primary_ascii,スーパー上海ドラゴンズアイ|Dragon's Eye Super Shanghai|Dragon's Eye Super Shanghai|Shanghai II Dragon's Eye|Shanghai 2 Dragon's Eye,NTSC-J,ja
9393,Nintendo Super Famicom,SFC,Super Street Fighter II The New Challengers,Super Street Fighter II The New Challengers,primary_ascii,スーパーストリートファイターII ザ ニューチャレンジャーズ|Super Street Fighter 2 The New Challengers,NTSC-J,ja
9401,Nintendo Super Famicom,SFC,Tetris Battle Gaiden,Tetris Battle Gaiden,primary_ascii,テトリスバトル 武闘外伝,NTSC-J,ja
9414,Nintendo Super Famicom,SFC,Sandra no Daibouken Valkyrie Tono Deai,Sandra no Daibouken Valkyrie Tono Deai,primary_ascii,サンドラの大冒険 ワルキューレとの出逢い|Xandra no Daibouken Valkyrie to no Deai|Sandro no Daibouken Valkyrie Tono Deai|Whirlo,NTSC-J,ja
