edition_id,title_primary,platform,country,language,release_date,source_object
ED-C32D5D669B,Ashita no Joe,SFC,JP,ja,,9231
ED-C32D5D669B,Ashita no Joe,SFC,JP,ja,,20189
ED-E48D6C840A,Assassin's Creed Bloodlines,PS,UNK,xx,,23751
ED-52E5296F94,Assault Suits Valken,SFC,JP,ja,,38856
ED-639E1F0424,Assault Suits Valken,SNES,UNK,xx,,66946
ED-639E1F0424,Assault Suits Valken,SNES,UNK,xx,,66944#1
ED-A62C23262D,Astérix,SNES,EU,en,,1877
ED-A62C23262D,Astérix,SNES,EU,en,,20360
ED-0571E31AD8,Astérix,SNES,UNK,xx,,1877
ED-0571E31AD8,Astérix,SNES,UNK,xx,,20360
ED-429C22182F,Astérix & Obelix,SNES,EU,en,,1833
ED-429C22182F,Astérix & Obelix,SNES,EU,en,,19773
ED-84829203E3,Astérix & Obelix,SNES,UNK,xx,,1833
ED-84829203E3,Astérix & Obelix,SNES,UNK,xx,,19773
ED-E1FA6055FA,Astérix & Obélix,SNES,SE,sv,,26960
ED-643B7FD542,Astérix & Obélix,SNES,UNK,xx,,26960
ED-741B339B55,"Aura Interactor, Force-feedback device",PS,EU,xx,,34166
ED-674C2EA3DC,"Aura Interactor, Force-feedback device",PS,UNK,xx,,34166
ED-6514D9FE6C,"Aura Interactor, Force-feedback device",SFC,JP,ja,,31350
ED-AF38150AF1,Ax Battler A Legend of Golden Axe,GG,EU,en,,1702
ED-F6D8CE2B24,Ax Battler Golden Axe Densetsu,GG,JP,ja,,47865
ED-1A20A181F4,Ax Battler Legend of Golden Axe,GG,UNK,xx,,42046
ED-0986150C84,Axelay,SFC,JP,ja,,37018
ED-9CC500511D,Axelay,SNES,EU,en,,20358
ED-9CC500511D,Axelay,SNES,SE,sv,,27020
ED-14EF901436,Axelay,SNES,UNK,xx,,20358
ED-14EF901436,Axelay,SNES,UNK,xx,,27020
ED-A3DD24E417,B.O.B.,SNES,EU,en,,19774
ED-A3DD24E417,B.O.B.,SNES,EU,en,,26665
ED-A3DD24E417,B.O.B.,SNES,EU,xx,,42324
ED-A3DD24E417,B.O.B.,SNES,EU,xx,,42831
ED-C5E269E870,B.O.B.,SNES,UNK,xx,,19774
ED-C5E269E870,B.O.B.,SNES,UNK,xx,,26665
ED-C5E269E870,B.O.B.,SNES,UNK,xx,,42324
ED-C5E269E870,B.O.B.,SNES,UNK,xx,,42831
ED-774512F012,Bahamut Lagoon,SFC,JP,ja,,9326
ED-774512F012,Bahamut Lagoon,SFC,JP,ja,,23132
ED-453E3950FC,Bakukyu Rennpatsu!! Super B-Daman,SFC,GB,ja,,9310
ED-453E3950FC,Bakukyu Rennpatsu!! Super B-Daman,SFC,GB,ja,,38411
ED-453E3950FC,Bakukyu Rennpatsu!! Super B-Daman,SFC,JP,ja,,9310
ED-453E3950FC,Bakukyu Rennpatsu!! Super B-Daman,SFC,JP,ja,,38411
