object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
9203,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi;北斗の拳6 激闘伝承拳 覇王への道;Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi;Fist of the North Star 6,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,北斗の拳6 激闘伝承拳 覇王への道|Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi|Fist of the North Star 6,
9204,F-1 Grand Prix Part III;F1グランプリ パート3;F-1 Grand Prix Part 3;F1 Grand Prix Part III,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,F-1 Grand Prix Part III,F1グランプリ パート3|F-1 Grand Prix Part 3|F1 Grand Prix Part III,
9206,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi;北斗の拳7 聖拳列伝 伝承者への道;Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi;Fist of the North Star 7,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,北斗の拳7 聖拳列伝 伝承者への道|Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi|Fist of the North Star 7,
9207,Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Fortune Quest Dice wo Korogase,フォーチュンクエスト ダイスをころがせ,
9208,Namco Open;ナムコットオープン,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Namco Open,ナムコットオープン,
9210,3x3 Eyes Sazanaizu Seima Kourinden;3x3 Eyes サザンアイズ 聖魔降臨伝;三只眼 聖魔降臨伝;3 x 3 Eyes Sazanaizu Seima Kourinden,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,3x3 Eyes Sazanaizu Seima Kourinden,3x3 Eyes サザンアイズ 聖魔降臨伝|三只眼 聖魔降臨伝|3 x 3 Eyes Sazanaizu Seima Kourinden,
9211,Star Fox;スターフォックス;Starwing,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Star Fox,スターフォックス|Starwing,
9212,Super Famista 2;スーパーファミスタ2,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Famista 2,スーパーファミスタ2,
9218,Hiryu no Ken S Hyper Version;ハイパーバージョン 飛龍の拳S;Hiryu no Ken S Golden Fighter Hyper Version,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hiryu no Ken S Hyper Version,ハイパーバージョン 飛龍の拳S|Hiryu no Ken S Golden Fighter Hyper Version,
9220,Jikkyou World Soccer Perfect Eleven;実況ワールドサッカー パーフェクトイレブン;International Superstar Soccer,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Jikkyou World Soccer Perfect Eleven,実況ワールドサッカー パーフェクトイレブン|International Superstar Soccer,
9221,Hyper Zone;ハイパーゾーン,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Hyper Zone,ハイパーゾーン,
9222,Fighter's History;ファイターズヒストリー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Fighter's History,ファイターズヒストリー,
9223,Front Mission Gun Hazard;フロントミッションシリーズ ガンハザード,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Front Mission Gun Hazard,フロントミッションシリーズ ガンハザード,
9224,Ace o Nerae!;エースをねらえ！;Aim for the Ace!,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Ace o Nerae!,エースをねらえ！|Aim for the Ace!,
9225,Emerald Dragon;エメラルドドラゴン;Emerald Dragon ED,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Emerald Dragon,エメラルドドラゴン|Emerald Dragon ED,
9226,BattleTech;バトルテック;Mechwarrior,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,BattleTech,バトルテック|Mechwarrior,
9227,Super Birdie Rush;スーパーバーディラッシュ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Birdie Rush,スーパーバーディラッシュ,
