object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
42350,PGA Tour Golf,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PGA Tour Golf,,
42351,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Zoop,,
42361,Winter Gold,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Gold,,
42363,Mortal Kombat II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat II,,
42365,Newman Haas IndyCar featuring Nigel Mansell;Newman Haas Indy Car featuring Nigel Mansell,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Newman Haas IndyCar featuring Nigel Mansell,Newman Haas Indy Car featuring Nigel Mansell,
42366,Super Mario All-Stars;Super Mario All-Stars,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario All-Stars,Super Mario All-Stars,
42374,World League Basketball;NCAA Basketball,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World League Basketball,NCAA Basketball,
42375,Castlevania Vampires Kiss;Castlevania Dracula X ,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Castlevania Vampires Kiss,Castlevania Dracula X,
42376,Super Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Soccer,,
42377,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sensible Soccer Europeans Champions,,
42378,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sensible Soccer Europeans Champions,,
42379,Pinball Fantasies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pinball Fantasies,,
42380,Ultimate Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ultimate Mortal Kombat 3,,
42381,Nigel Mansell's World Championship Racing,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Nigel Mansell's World Championship Racing,,
42382,Exhaust Heat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Exhaust Heat,,
42383,Carrier Aces,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Carrier Aces,,
42384,Phantom 2040,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Phantom 2040,,
42385,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Val d'Isere Championship,,
42386,Super Battletank 2 ,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Battletank 2,,
42387,Star Trek Starfleet Academy,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Star Trek Starfleet Academy,,
42388,Choplifter III Rescue Survive;Choplifter III,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Choplifter III Rescue Survive,Choplifter III,
42389,Eek! The Cat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Eek! The Cat,,
42390,Micro Machines,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Micro Machines,,
42391,Garry Kitchen's Super Battletank,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Garry Kitchen's Super Battletank,,
42392,Tetris & Dr. Mario,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris & Dr. Mario,,
42647,Dragon The Bruce Lee Story,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dragon The Bruce Lee Story,,
42653,Tetris Attack,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris Attack,,
42655,Lemmings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lemmings,,
42657,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Stunt Race FX,,
42659,Turn and Burn No-Fly Zone,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Turn and Burn No-Fly Zone,,
42663,Winter Olympics Lillehammer '94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Olympics Lillehammer '94,,
42665,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat 3,,
42682,Mortal Kombat ,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat,,
42686,Desert Strike Return to the Gulf,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Desert Strike Return to the Gulf,,
42694,Sim City 2000;Simcity 2000,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sim City 2000,Simcity 2000,
42697,Rise of the Robots,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Rise of the Robots,,
42702,International Superstar Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer,,
42708,International Superstar Soccer Deluxe,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer Deluxe,,
42711,WWF Wrestlemania The Arcade Game,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,WWF Wrestlemania The Arcade Game,,
42714,Claymates,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Claymates,,
42715,Young Merlin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Young Merlin,,
42759,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Super Game Boy,,
42761,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Super Game Boy,,
42763,Theme Park ,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Theme Park,,
42769,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat 3,,
42771,FIFA 96 Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,FIFA 96 Soccer,,
42775,Disney's Beauty and the Beast,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Beauty and the Beast,,
42777,Street Racer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Racer,,
42780,Mortal Kombat II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat II,,
42782,Prince of Persia,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Prince of Persia,,
42786,Yogi Bear's Cartoon Capers;Yogi Bears Cartoon Capers,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Yogi Bear's Cartoon Capers,Yogi Bears Cartoon Capers,
42791,Looney Tunes Road Runner,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Looney Tunes Road Runner,,
42807,Earthworm Jim,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Earthworm Jim,,
42810,Pinball Dreams,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pinball Dreams,,
42813,Choplifter III Rescue Survive,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Choplifter III Rescue Survive,,
42814,Mickey Mania,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mickey Mania,,
42817,NHL 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 96,,
42820,Doom,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Doom,,
42821,Claymates,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Claymates,,
42825,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL Hockey '94,,
42831,B.O.B.,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,B.O.B.,,
42836,The Magical Quest Starring Mickey Mouse,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Magical Quest Starring Mickey Mouse,,
42838,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL Hockey '94,,
42840,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Val d'Isere Championship,,
42842,Seaquest DSV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Seaquest DSV,,
42845,Super Battletank 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Battletank 2,,
42850,Top Gear,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Top Gear,,
42853,SimCity,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,SimCity,,
42869,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Zoop,,
42876,Pinball Dreams!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pinball Dreams!,,
42915,Smash Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Smash Tennis,,
42918,Super Castlevania IV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Castlevania IV,,
42919,Super Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Tennis,,
42921,Mickey Mania,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mickey Mania,,
42926,Street Fighter Alpha 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter Alpha 2,,
42934,Super Probotector Alien Rebels,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Probotector Alien Rebels,,
42936,Ultimate Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ultimate Mortal Kombat 3,,
42940,Lemmings 2 The Tribes,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lemmings 2 The Tribes,,
42941,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL Hockey '94,,
42943,Mortal Kombat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat,,
42946,The Legend of Zelda A Link to the Past,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Legend of Zelda A Link to the Past,,
42951,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Stunt Race FX,,
42952,Starwing,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Starwing,,
42954,Choplifter III,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Choplifter III,,
42966,Lemmings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lemmings,,
42968,Smash Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Smash Tennis,,
42983,Pitfall The Mayan Adventure,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pitfall The Mayan Adventure,,
42991,Blazing Skies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Blazing Skies,,
42996,Sullivan Bluth Presents Dragon's Lair,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sullivan Bluth Presents Dragon's Lair,,
42999,Super Putty,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Putty,,
43001,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat 3,,
43004,Earthworm Jim,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Earthworm Jim,,
43005,Street Fighter II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,,
43008,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country,,
43013,Donkey Kong Country 2 Diddy's Kong Quest,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 2 Diddy's Kong Quest,,
43014,Donkey Kong Country 3 Dixie Kong's Double Trouble!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 3 Dixie Kong's Double Trouble!,,
43017,Super Mario World 2 Yoshi's Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario World 2 Yoshi's Island,,
43396,"Super Nintendo Controller, SNES",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Super Nintendo Controller, SNES",,
45586,Dorke & Ymp,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dorke & Ymp,,
45809,"Nintendo Videospel Instruktionsböcker, Instruction book folder",Peripheral Description,Nintendo Entertainment System;Nintendo Game Boy;Nintendo Super Nintendo Entertainment System,Nintendo Entertainment System,NES,;;,Peripheral,"Nintendo Videospel Instruktionsböcker, Instruction book folder",,manual
51333,"Nintendo 64 / Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",Peripheral Description,Nintendo 64;Nintendo Super Nintendo Entertainment System,Nintendo 64,N64,;,Peripheral,"Nintendo 64 / Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",,
53222,"Fire The Rebel Mouse for SNES / SFC F-010, Super NES Mouse",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Fire The Rebel Mouse for SNES / SFC F-010, Super NES Mouse",,
53223,Datel Pro Action Replay 2 for the Super NES,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Peripheral,Datel Pro Action Replay 2 for the Super NES,,
53313,"Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",,
53318,"Hudson Soft Super Multitap HC699, 4 player adapter",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Hudson Soft Super Multitap HC699, 4 player adapter",,
53708,EarthBound Bonus Inside Free Players Guide;EarthBound,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,EarthBound Bonus Inside Free Players Guide,EarthBound,guide
53728,Secret of Evermore Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Secret of Evermore,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Secret of Evermore Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.,Secret of Evermore,
53734,Illusion of Time Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Illusion of Time,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Illusion of Time Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.,Illusion of Time,
53736,Terranigma Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Terranigma,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Terranigma Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.,Terranigma,
53738,Secret of Mana Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Secret of Mana,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Secret of Mana Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.,Secret of Mana,
53741,Mario Paint Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Mario Paint,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Mario Paint Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.,Mario Paint,
53743,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Peripheral,Super Game Boy,,
54708,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country,,
56798,Yobo Gameware FC-16 Go,Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,Yobo Gameware FC-16 Go,,
56967,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Peripheral,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",,
57010,"Super NES Score Master, Arcade controller",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Super NES Score Master, Arcade controller",,
58863,"Wild Things Energiser, Controller",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Wild Things Energiser, Controller",,
60594,Kick Off 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kick Off 3,,
60599,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Stunt Race FX,,
60609,SNES Game Converter,Peripheral Description,Nintendo Super Nintendo Entertainment System;Nintendo Super Famicom,Nintendo Super Nintendo Entertainment System,SNES,;,Peripheral,SNES Game Converter,,
60645,Parodius,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Parodius,,
60646,Super Mario All-Stars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario All-Stars,,
60647,Archer Maclean's Super Dropzone,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Archer Maclean's Super Dropzone,,
60648,PGA Tour 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PGA Tour 96,,
60650,The Smurfs,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Smurfs,,
60652,Power Piggs of the Dark Age,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Piggs of the Dark Age,,
60658,Aguri Suzuki F1 Super Driving,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Aguri Suzuki F1 Super Driving,,
60667,The Pagemaster,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Pagemaster,,
60668,Super Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Tennis,,
60669,Mickey Mania,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mickey Mania,,
60670,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Stunt Race FX,,
60671,Die Schlümpfe,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Die Schlümpfe,,
60672,Jimmy Connors Pro Tennis Tour,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jimmy Connors Pro Tennis Tour,,
60673,F1 Pole Position,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,F1 Pole Position,,
60674,Das Dschungelbuch,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Das Dschungelbuch,,
60675,Kick Off 3 European Challenge,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kick Off 3 European Challenge,,
60676,Shanghai II Dragon's Eye,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Shanghai II Dragon's Eye,,
60677,Dennis,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dennis,,
60678,Newman/Haas IndyCar featuring Nigel Mansell,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Newman/Haas IndyCar featuring Nigel Mansell,,
60679,Arkanoid,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Arkanoid,,
60680,NBA Live 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Live 97,,
60681,Alien 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Alien 3,,
60682,Vortex,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Vortex,,
60683,Parodius,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Parodius,,
60684,Lamborghini American Challenge,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lamborghini American Challenge,,
60685,Der König Der Löwen,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Der König Der Löwen,,
60686,International Superstar Soccer Deluxe,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer Deluxe,,
60687,Pac-Attack,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pac-Attack,,
60688,Aero the Acro-Bat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Aero the Acro-Bat,,
61143,NHL 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 97,,
61145,Tetris 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tetris 2,,
61148,Castlevania Vampire's Kiss,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Castlevania Vampire's Kiss,,
61149,Izzy's Quest for the Olympic Rings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Izzy's Quest for the Olympic Rings,,
61150,Dragon The Bruce Lee Story,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dragon The Bruce Lee Story,,
61151,Mario is Missing,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mario is Missing,,
