release_id,edition_id,title_primary,platform,country,language,release_date
RL-D2FB73A095,ED-6EF7397689,Equinox,SNES,UNK,xx,
RL-D3F7742B58,ED-5B43346929,Erben der Erde Die Grosse Suche,AMIGA,UNK,xx,
RL-A0AFE13ED8,ED-6772B05327,Exhaust Heat,SNES,EU,xx,
RL-BFDB34CEEF,ED-9BE6B4E1A9,Exhaust Heat,SNES,UNK,xx,
RL-318A58CA81,ED-FAB2F3B636,F-Zero,SNES,UNK,xx,
RL-32EDA5F7BA,ED-952F9E7E0B,F-Zero,SNES,US,xx,
RL-C69831BC71,ED-D5A98A1DFF,F1 Pole Position,SNES,EU,xx,
RL-7319008BDD,ED-68AA537FFA,F1 Pole Position,SNES,UNK,xx,
RL-DDC3C1AC2B,ED-BA61D8343D,F1 Pole Position 2,SNES,UNK,xx,
RL-FE48079F67,ED-D82E6ACFDE,FIFA 96 Soccer,SNES,EU,xx,
RL-B0263138AD,ED-1036AE0607,FIFA 96 Soccer,SNES,UNK,xx,
RL-DED996E7EA,ED-7CEAC596E7,FIFA 97,SNES,UNK,xx,
RL-1B06F0C59C,ED-E060DDC306,FIFA International Soccer,SNES,WW,xx,
RL-79B1BBFE2F,ED-6ED43CAC8E,FIFA Road to World Cup 98,SNES,UNK,xx,
RL-186AFFC9C7,ED-52653CACB1,FIFA Soccer 96,SNES,EU,xx,
RL-D5DEF93929,ED-6FFE766F68,FIFA Soccer 96,SNES,UNK,xx,
RL-2B597ABB12,ED-D371E70BC9,Fatal Fury,SNES,UNK,xx,
RL-49B72EF0BD,ED-D630739538,Fatal Fury,SNES,US,xx,
RL-081EFABFBC,ED-72CF59E3B7,Ferrari Formula 1,AMIGA,UNK,xx,
RL-94A8C12BEF,ED-1869474C52,Fighter's History Dynamite,NEO-AES,UNK,xx,
RL-592A1008FB,ED-E16EFFF463,Final Fantasy II,SNES,UNK,xx,
RL-9A9B4916DF,ED-DE4E34EDD9,Final Fantasy II,SNES,US,xx,
RL-21AAFA5CE2,ED-647C7CF51B,Final Fantasy III,SNES,UNK,xx,
RL-0FDDD2B3BB,ED-269DE89552,Final Fantasy III,SNES,US,xx,
RL-E07E8F2026,ED-B1F373EAFB,Final Fantasy Mystic Quest,SNES,UNK,xx,
RL-83D20E7622,ED-875E52CCFD,Final Fantasy Mystic Quest,SNES,US,xx,
RL-F06129E3A4,ED-04B9D814C2,Final Fight,SNES,UNK,xx,
RL-1C288FC3A6,ED-C35B000CED,"Fire The Rebel Mouse for SNES / SFC F-010, Super NES Mouse",SNES,UNK,xx,
RL-0DF4A5F1B5,ED-78B3937F35,Flashback,SNES,EU,xx,
RL-91626714AD,ED-A918F4744F,Flashback,SNES,UNK,xx,
RL-9FB6D63C3B,ED-47928B94D0,Foreman for Real,SNES,UNK,xx,
RL-A658A45427,ED-F91D411281,Fork Parker's Crunch Out,SNES,UNK,xx,
RL-0B40A9E948,ED-410E16982E,Fork Parker's Crunch Out,SNES,US,xx,
RL-00B036861D,ED-CD008D0087,Fun 'n Games,SNES,UNK,xx,
RL-D7492971CE,ED-94A254BEF8,Fushigi no Dungeon 2 Fuurai no Shiren,SFC,JP,xx,
RL-6A1F2A2164,ED-A50119E86A,G.Nius,AMIGA,UNK,xx,
RL-C54595984C,ED-A7B9302F8A,GP-1,SNES,UNK,xx,
RL-CDB5AAEAC2,ED-D53375271B,"GVP A500-HD8+, SCSI + RAM, Side expansion slot",AMIGA,UNK,xx,
RL-1C30E8859F,ED-FF48057EC4,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",SNES,EU,xx,
RL-B5D7C2A096,ED-EAEF55CD1A,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",SNES,UNK,xx,
RL-863857575F,ED-321DCBE0B6,Game Boy Printer,SFC,UNK,xx,
RL-2747382C51,ED-E28268FB35,Garou Densetsu Special,NEO-AES,UNK,xx,
RL-62C67F9198,ED-E78396AFE0,Garry Kitchen's Super Battletank,SNES,EU,xx,
RL-A8B2B42FCA,ED-F1DA6A7A1E,Garry Kitchen's Super Battletank,SNES,UNK,xx,
RL-EEDE0202EE,ED-AA938A3305,Ghoul Patrol,SNES,EU,xx,
RL-7A6EBCA71F,ED-461D52A604,Ghoul Patrol,SNES,UNK,xx,
RL-10B6E7B242,ED-AE1590BE6E,Ghoul Patrol,SNES,US,xx,
RL-EDE4703EA3,ED-DCC5C4677D,Gods,SNES,UNK,xx,
RL-2157369C13,ED-8C17326547,Golden Axe,AMIGA,UNK,xx,
RL-C492DFCE44,ED-3AD0C51CC8,Golden Axe,C64,UNK,xx,
RL-C3FEDC0694,ED-8DFF11975B,Golden Axe,MD,EU,xx,
RL-E5255A2D5B,ED-13803D0281,Golden Axe,MD,UNK,xx,
RL-AA0680CAE1,ED-92681366AA,Golden Axe,SMS,UNK,xx,
RL-3FB6DFCEEF,ED-31472ACD2A,Golden Axe,SMS,US,xx,
RL-BF542CEAE0,ED-32AAD90A15,Golden Axe,ZX,UNK,xx,
RL-95DCA0E199,ED-7996BCC3A7,Golden Axe II,GEN,UNK,xx,
RL-E9F0A9F706,ED-8F9C7A403E,Golden Axe II,MD,EU,xx,
RL-19C25EB5FE,ED-9E7FF50CA8,Golden Axe II,MD,UNK,xx,
RL-FE3180EA22,ED-2793B25A0B,Golden Axe The Duel,SAT,UNK,xx,
RL-DAD21A5C57,ED-7AF46380DB,Golden Axe Warrior,SMS,UNK,xx,
RL-42CCE4C136,ED-CB2D914D73,Golden Axe Warrior,SMS,US,xx,
RL-2350B1BE92,ED-A196BE6498,Golden Axe: Beast Rider,X360,UNK,xx,
RL-3168844660,ED-522F676957,Goldrunner,AMIGA,UNK,xx,
RL-6FDFEE66F5,ED-7BF60D600D,Goof Troop,SNES,UNK,xx,
RL-FE5C558599,ED-6CC63C863F,Gyromite,FAMICOM,UNK,xx,
RL-5196C22294,ED-8408F3E268,Hal's Hole in One Golf,SNES,UNK,xx,
RL-425A5B8B56,ED-170C76480E,Harvest Moon,SNES,UNK,xx,
RL-A7B61E76F4,ED-A2A119D10A,Highway Patrol 2,AMIGA,UNK,xx,
RL-8BCF35F52F,ED-AD70AE775C,Home Alone Kevin Allein zu Haus,SNES,UNK,xx,
RL-E146B65479,ED-F9AAC1398C,Honoo no Toukyuuji Dodge Danpei,SFC,GB,xx,
RL-6EF0CA1CFC,ED-F9AAC1398C,Honoo no Toukyuuji Dodge Danpei,SFC,JP,xx,
RL-055F7ACC3B,ED-D122DE7ECE,Hook,SNES,UNK,xx,
RL-C0B1C6DFE6,ED-15E75015ED,Hook,SNES,US,xx,
RL-1BACDAD631,ED-119B5CFB87,"Hudson Soft Super Multitap HC699, 4 player adapter",SNES,EU,xx,
RL-87950E7F6A,ED-4AD501BAEF,"Hudson Soft Super Multitap HC699, 4 player adapter",SNES,UNK,xx,
RL-BE480D5686,ED-3381DE08C1,"Hyperkin Supaboy, Portable Super Nintendo Entertainment System",SNES,UNK,xx,
RL-75DE3FB640,ED-1836AFE71C,IK+,AMIGA,UNK,xx,
RL-B141387166,ED-2C7E22DC63,Illusion of Gaia,SNES,UNK,xx,
RL-637696C19E,ED-E19B24CB3C,Illusion of Gaia,SNES,US,xx,
RL-A03D2E6EE6,ED-301A6E46CF,Illusion of Time,SNES,GB,xx,
RL-E10CCF1345,ED-91633C05C7,Illusion of Time,SNES,GB,xx,
RL-419B4059A4,ED-301A6E46CF,Illusion of Time,SNES,UNK,xx,
RL-920AD1C048,ED-3CAA2AA464,Indiana Jones Greatest Adventures,SNES,IN,xx,
RL-6E88FA5419,ED-EA851FB429,Indiana Jones Greatest Adventures,SNES,IN,xx,
RL-2A585CC5C6,ED-3CAA2AA464,Indiana Jones Greatest Adventures,SNES,US,xx,
RL-3C07F80277,ED-8184BE4ADD,Indiana Jones and the Last Crusade,AMIGA,IN,xx,
RL-F131DABADC,ED-8184BE4ADD,Indiana Jones and the Last Crusade,AMIGA,US,xx,
RL-3715BE77E2,ED-C8491A420E,Indiana Jones' Greatest Adventures,SNES,IN,xx,
RL-9C8A934F18,ED-E22149D5C4,Inindo Way of the Ninja,SNES,UNK,xx,
RL-C0B6F7550E,ED-22A068CE17,Inindo Way of the Ninja,SNES,US,xx,
RL-24993D24E4,ED-A1408FE0C1,International Superstar Soccer,SNES,WW,xx,
RL-801669E588,ED-C9A98CC897,International Superstar Soccer,SNES,WW,xx,
RL-8BF6F9EF99,ED-DBE7BF6403,International Superstar Soccer Deluxe,SNES,WW,xx,
RL-5B08AE8E98,ED-E819E874F6,International Superstar Soccer Deluxe,SNES,WW,xx,
RL-353C479799,ED-6BD16ED9BD,International Tennis Tour,SNES,WW,xx,
RL-A6CB58F9EB,ED-084983DDD3,Izzy's Quest for the Olympic Rings,SNES,EU,xx,
RL-D4D61D26A2,ED-DB87E9171D,Izzy's Quest for the Olympic Rings,SNES,UNK,xx,
RL-E54C06A693,ED-A11CB27D25,J.R.R. Tolkien's Der Herr der Ringe Volume 1,SNES,UNK,xx,
RL-7C841F34EF,ED-05DF71290C,J.R.R. Tolkien's The Lord of the Rings Volume 1,SNES,EU,xx,
RL-810C116968,ED-7150F43145,J.R.R. Tolkien's The Lord of the Rings Volume 1,SNES,UNK,xx,
RL-DD9287903B,ED-A43DFF3666,Jahangir Khan World Championship Squash,AMIGA,EU,xx,
RL-4BC9EC80C6,ED-C64C079288,James Bond Jr,SNES,UNK,xx,
RL-65B54E19AB,ED-44EF310194,Jester,SNES,UNK,xx,
RL-544CFD19DD,ED-74114E3898,Jester,SNES,US,xx,
RL-B9B9C0A539,ED-11036602ED,Jet Set Willy,C64,UNK,xx,
RL-74A6252E77,ED-F3AB2A4713,Jimmy Connors Pro Tennis Tour,SNES,EU,xx,
RL-FC45C77D09,ED-AC561F0360,Jimmy Connors Pro Tennis Tour,SNES,UNK,xx,
RL-17154F38AE,ED-32005519D8,Jissen! Pachislot Hisshouhou! 2,SFC,JP,xx,
RL-20128C5C70,ED-DC43CA2D6F,Joe & Mac,SNES,UNK,xx,
RL-B459D945CA,ED-A006B2D6BE,Joe & Mac,SNES,US,xx,
RL-035B06C662,ED-5B7949AC47,Joe & Mac Caveman Ninja,SNES,UNK,xx,
RL-F789310074,ED-76FBD0E3A1,Joe & Mac Ultimate Caveman Collection,SNES,UNK,xx,
RL-D68A5C3BC4,ED-977093281A,John Madden Football '93,SNES,UNK,xx,
RL-41261419E9,ED-A7BFAA3AFC,Joy Joy Kid,NEO-AES,UNK,xx,
RL-4AFDA1DA93,ED-E4FF2A61FD,Judge Dredd,SNES,EU,xx,
RL-D6E9599A57,ED-2DC6F231AD,Judge Dredd,SNES,UNK,xx,
RL-6EC61CD8FB,ED-DDD62D2CA7,Jungle Strike The Sequel to Desert Strike,SNES,UNK,xx,
RL-4B16EAF9B9,ED-83F5E44D62,Jupiter Probe,AMIGA,UNK,xx,
RL-B6B4DC46A3,ED-3CB0BFFD9A,Jurassic Park,SNES,UNK,xx,
RL-0D61023327,ED-4D8F9C140C,Jurassic Park Part 2: The Chaos Continues,SNES,UNK,xx,
RL-BBC511EDDF,ED-AA33D63A62,"KCS Power PC Board, PC Emulator + RAM, Amiga 500 Trapdoor slot",AMIGA,UNK,xx,
RL-E7CDB09349,ED-07C0BAF390,Kaizou Choujin Schbibinman Zero Shockman Zero,SNES,UNK,xx,
RL-343F5EC1B0,ED-E11167CF0E,Kevin Keegan's Player Manager,SNES,UNK,xx,
RL-85438C940D,ED-22F06E6D56,Kick Off,SNES,EU,xx,
RL-69836058E7,ED-16F9B84D93,Kick Off,SNES,UNK,xx,
RL-C7D26F96DE,ED-A82D3DBA27,Kick Off 3,SNES,EU,xx,
