edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-19768,Bubsy In: Claws Encounters of the Furred Kind,Nintendo Super Nintendo Entertainment System,20205,7804,,
CAT-26555,Ghoul Patrol,Nintendo Super Nintendo Entertainment System,16760,42612,,
CAT-24310,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Nintendo Super Famicom,30673,38371,,
CAT-19875,Kirby's Dream Course,Nintendo Super Nintendo Entertainment System,9316,3656,,
CAT-09207,Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ,Nintendo Super Famicom,46746,42242,,
CAT-34419,Kid Klown in Crazy Chase;キッドクラウンのクレイジーチェイス,Nintendo Super Famicom,14982,6349,,
CAT-23923,Doom;ドゥーム,Nintendo Super Famicom,20654,7351,,
CAT-35471,Acrobat Mission;アクロバットミッション,Nintendo Super Famicom,37841,46770,,
CAT-20313,FIFA Road to World Cup 98,Nintendo Super Nintendo Entertainment System,11207,705,,
CAT-01842,The Incredible Hulk,Nintendo Super Nintendo Entertainment System,10622,368893,,
CAT-42853,SimCity,Nintendo Super Nintendo Entertainment System,15035,208990,,
CAT-09311,Nekketsu Tairiku Burning Heroes;熱血大陸 バーニング ヒーローズ,Nintendo Super Famicom,11461,15935,,
CAT-19856,Lamborghini American Challenge,Nintendo Super Nintendo Entertainment System,45818,27525,,
CAT-19932,Super Ghouls 'n Ghosts,Nintendo Super Nintendo Entertainment System,7450,6621,,
CAT-55774,Zico Soccer;ジーコ サッカー,Nintendo Super Famicom,37604,42348,,
CAT-37220,Fighter's History;ファイターズヒストリー,Nintendo Super Famicom,10486,8564,,
CAT-01800,The Blues Brothers,Nintendo Super Nintendo Entertainment System,8498,265033,,
CAT-35384,Super Mahjong Taikai;スーパー麻雀大会,Nintendo Super Famicom,38768,37811,,
CAT-20394,Super Castlevania IV,Nintendo Super Nintendo Entertainment System,11443,1124,,
CAT-00088,Actraiser,Nintendo Super Nintendo Entertainment System,7274,23597,,
