edition_id,title_primary,platform,igdb_game_id,gb_game_id,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,primary_source
CAT-21668,Stealth;ステルス,Nintendo Super Famicom,147969,44689,,Axes Art Amuse,Hect,,,,,,igdb
CAT-42702,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,9861,6106,,,,,,,,,igdb
CAT-42379,Pinball Fantasies,Nintendo Super Nintendo Entertainment System,242310,12347,,,,,,,,,igdb
CAT-42363,Mortal Kombat II,Nintendo Super Nintendo Entertainment System,223018,3571,,,,,,,,,igdb
CAT-24068,Battle Cross;バトルクロス,Nintendo Super Famicom,95412,37539,,,,,,,,,igdb
CAT-34688,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,42484,168,,,,,,,,,igdb
CAT-23989,Nangoku Shounen Papuwa-kun;南国少年パプワくん,Nintendo Super Famicom,38389,28373,,,,,,,,,igdb
CAT-00081,Lagoon,Nintendo Super Nintendo Entertainment System,42617,12945,Shooter,"Zoom, Inc.",Kemco,2008-06-23,,PC (Microsoft Windows),"Jun 23, 2008 <PC (Microsoft Windows)>",,igdb
CAT-37308,Super Gomoku Narabe Renju;スーパー五目ならべ 連珠,Nintendo Super Famicom,37832,49299,,,,,,,,,igdb
CAT-26968,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,1026,10276,,,,,,,,,igdb
CAT-20364,Super Putty,Nintendo Super Nintendo Entertainment System,39039,1852,,"System 3 Software, Ltd.","System 3 Software, Ltd.; U.S. Gold Ltd.; Varie",,,,,,igdb
CAT-61152,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,11603,12294,,,,,,,,,igdb
CAT-20412,Secret of Mana,Nintendo Super Nintendo Entertainment System,55092,19507,,Squaresoft,Square Enix; Squaresoft,,,,,,igdb
CAT-01834,Populous,Nintendo Super Nintendo Entertainment System,353713,6210,Real Time Strategy (RTS); Simulator; Strategy,Bullfrog Productions,Electronic Arts; Tec Toy,1991-10-01,,Sega Master System/Mark III,"1991 <Sega Master System/Mark III> | Oct 01, 1991 <Sega Master System/Mark III> | Aug 1993 <Sega Master System/Mark III>",https://images.igdb.com/igdb/image/upload/t_cover_big/coa3i2.jpg,igdb
CAT-60645,Parodius,Nintendo Super Nintendo Entertainment System,174910,810,,,,,,,,,igdb
CAT-01873,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,49256,19337,Platform,Iguana Entertainment,Playtronic; SUNSOFT,1993-08-01,,Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis,"1993 <Sega Mega Drive/Genesis> | Aug 01, 1993 <Sega Mega Drive/Genesis> | Dec 01, 1993 <Super Nintendo Entertainment System> | Dec 1993 <Super Nintendo Entertainment System> | Oct 12, 1993 <Super Nintendo Entertainment System> | Jul 23, 2010 <Wii> | Jul 26, 2010 <Wii>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2h94.jpg,igdb
CAT-19786,King Arthur's World,Nintendo Super Nintendo Entertainment System,42506,12248,,Argonaut Games,Jaleco Ltd.,,,,,,igdb
CAT-42715,Young Merlin,Nintendo Super Nintendo Entertainment System,11665,14108,,,,,,,,,igdb
CAT-42946,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,1026,10276,,,,,,,,,igdb
CAT-19924,Super Bomberman,Nintendo Super Nintendo Entertainment System,198028,11992,,"Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",,,,,,igdb
CAT-35497,The Blues Brothers;ブルースブラザーズ,Nintendo Super Famicom,265033,8498,,,,,,,,,igdb
CAT-38279,Populous;ポピュラス,Nintendo Super Famicom,353713,6210,,,,,,,,,igdb
CAT-42999,Super Putty,Nintendo Super Nintendo Entertainment System,39039,1852,,,,,,,,,igdb
CAT-19759,Addams Family Values,Nintendo Super Nintendo Entertainment System,5341,12959,,Ocean Software Ltd.,Ocean Software Ltd.,,,,,,igdb
CAT-60672,Jimmy Connors Pro Tennis Tour,Nintendo Super Nintendo Entertainment System,153771,5740,,,,,,,,,igdb
CAT-23153,Der Langrisser;デア ラングリッサー,Nintendo Super Famicom,77634,8375,,Masaya,"Interchannel, Ltd.; Masaya",,,,,,igdb
CAT-26608,Super Metroid,Nintendo Super Nintendo Entertainment System,1103,8292,,,,,,,,,igdb
CAT-01866,Warlock,Nintendo Super Nintendo Entertainment System,19773,3807,Adventure,"Realtime Associates, Inc.",The Edge,1987-12-31,,ZX Spectrum; Atari ST/STE; Amstrad CPC,"1987 <ZX Spectrum> | Dec 31, 1987 <Amstrad CPC> | 1988 <Atari ST/STE>",https://images.igdb.com/igdb/image/upload/t_cover_big/unnkfehhk8htyewezzva.jpg,igdb
CAT-23935,Tekichuu Keiba Juku;的中競馬塾,Nintendo Super Famicom,37791,57552,,,,,,,,,igdb
