object_number,title,title.type,object_name,object_name.type,object_category
53736,Terranigma Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Terranigma,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
53738,Secret of Mana Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Secret of Mana,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
53741,Mario Paint Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Mario Paint,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
53743,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,Cartridge,Peripheral
54708,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
56798,Yobo Gameware FC-16 Go,Console Description,Nintendo Super Nintendo Entertainment System,"",Console
56967,"Galoob Game Genie Video Game Enhancer, Super Nintendo Entertainment System version, Cartridge pass-thru",Peripheral Description,Nintendo Super Nintendo Entertainment System,Cartridge,Peripheral
57010,"Super NES Score Master, Arcade controller",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
58863,"Wild Things Energiser, Controller",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
60594,Kick Off 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
60599,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
