object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
35586,Iron Commando Kotetsu no Senshi;アイアンコマンドー 鋼鉄の戦士,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35587,Super Star Wars The Empire Strikes Back;スーパー・スター・ウォーズ 帝国の逆襲,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35588,Super SWIV;スーパーSWIV;Firepower 2000,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35593,Jikkyou World Soccer Perfect Eleven;実況ワールドサッカー パーフェクトイレブン;International Superstar Soccer,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35601,Tatakae Genshijin 3 Shuyaku ha Yappari Joe & Mac;戦え原始人3 主役はやっぱりジョー アンド マック;Joe & Mac 2 Lost in the Tropics,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35602,BlaZeon;ブレイゾン;BlaZeon The Bio-Cyborg Challenge,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35604,Chou Makaimura;超魔界村;Super Ghouls 'n Ghosts,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35605,Mask;マスク;The Mask,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35606,Super High Impact;スーパーハイインパクト,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35614,SD The Great Battle Aratanaru Chousen;SD ザ・グレイトバトル 新たなる挑戦,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
